ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,audiobook_title,audiobook_uri,audiobook_chapter_uri,audiobook_chapter_title,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2024-07-09T16:30:10Z,ios,210240,LT,78.61.198.127,Chop Suey!,System Of A Down,Toxicity,spotify:track:2DlHlPMa4M17kufBvI2lEN,,,,,,,,fwdbtn,trackdone,True,False,False,1720542327,False
2024-07-09T16:30:20Z,ios,9014,LT,78.61.198.127,Falling Away from Me,Korn,Issues,spotify:track:2F6FfZ4w8z3eJpSxPotVO5,,,,,,,,trackdone,fwdbtn,True,True,False,1720542610,False
2024-07-09T16:30:22Z,ios,1393,LT,78.61.198.127,Buddy Holly,Weezer,Weezer,spotify:track:3mwvKOyMmG77zZRunnxp9E,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720542620,False
2024-07-09T16:30:23Z,ios,1323,LT,78.61.198.127,Ethereal (Sped Up),Clovis Reyes,Ethereal,spotify:track:3qEh61POukuDcmnw1WwJ4x,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720542622,False
2024-07-09T16:30:24Z,ios,1253,LT,78.61.198.127,Farben - Alarm Mix,Orange Sector,Alarm,spotify:track:3tszOKYj3jpemFUNowQb9c,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720542623,False
2024-07-09T16:30:25Z,ios,650,LT,78.61.198.127,khaos emerald,9lives,#exclusive,spotify:track:3KCK7509rDq8dPZ1Cm9bpY,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720542624,False
2024-07-09T16:30:27Z,ios,1207,LT,78.61.198.127,Goth,Sidewalks and Skeletons,White Light,spotify:track:0uMZbmAAgOhdMrv25iPEH6,,,,,,,,fwdbtn,backbtn,True,True,False,1720542625,False
2024-07-09T16:32:58Z,ios,151879,LT,78.61.198.127,khaos emerald,9lives,#exclusive,spotify:track:3KCK7509rDq8dPZ1Cm9bpY,,,,,,,,backbtn,trackdone,True,False,False,1720542627,False
2024-07-09T16:33:16Z,ios,16777,LT,78.61.198.127,Goth,Sidewalks and Skeletons,White Light,spotify:track:0uMZbmAAgOhdMrv25iPEH6,,,,,,,,trackdone,fwdbtn,True,True,False,1720542778,False
2024-07-09T16:33:18Z,ios,1648,LT,78.61.198.127,Mood Romantica,Lamp,Tokyo Utopia Tsushin,spotify:track:1kXUjeEyOBgASxve7SLbrd,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720542796,False
2024-07-09T16:33:19Z,ios,1300,LT,78.61.198.127,Sweet Illness Of Mine,Lifelover,Erotik,spotify:track:6sNQwBUNQZkSE6NI21jPmZ,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720542798,False
2024-07-09T16:33:20Z,ios,766,LT,78.61.198.127,Rose Blood,Mazzy Star,Among My Swan,spotify:track:2qV5Ce0sMlFsrseRO5CTMU,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720542799,False
2024-07-09T16:37:54Z,ios,103468,LT,78.61.198.127,LEASE,阿保剛,Takeshi Abo KID Collection~My Merry May,spotify:track:2PV4Xn0Jy9Z5uz7akQUhdg,,,,,,,,fwdbtn,trackdone,True,False,False,1720542800,False
2024-07-09T16:37:55Z,ios,0,LT,78.61.198.127,Cat at the Cafe,fazathecat,Cat at the Cafe,spotify:track:1hJvdyKeKRT952DKgjNlIk,,,,,,,,trackdone,fwdbtn,True,True,False,1720543074,False
2024-07-09T16:37:56Z,ios,905,LT,78.61.198.127,Drunk Walk Home,Mitski,Bury Me At Makeout Creek,spotify:track:093N3AMhUnOeE4wgNRsBOO,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720543075,False
2024-07-09T16:37:57Z,ios,1207,LT,78.61.198.127,(Sanitys Fall) Singular,Steve Gabry,Sally Face: Strange Neighbors (Original Video Game Soundtrack),spotify:track:0jJKljmTpLCkXEfyLFZfj1,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720543076,False
2024-07-09T16:37:59Z,ios,1114,LT,78.61.198.127,Yippee Afternoon (Bonus Track),Milk In The Microwave,Count! Your! Stars!,spotify:track:0xroQcgByRnYCMLuaHT9rk,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720543077,False
2024-07-09T16:38:00Z,ios,835,LT,78.61.198.127,Savages,That Handsome Devil,History Is a Suicide Note,spotify:track:4QOXg01nSpCVzFUGXBZ4vy,,,,,,,,fwdbtn,backbtn,True,True,False,1720543080,False
2024-07-09T16:38:00Z,ios,1091,LT,78.61.198.127,Ala Mode,Mindless Self Indulgence,How I Learned to Stop Giving a Shit and Love Mindless Self Indulgence,spotify:track:0V5Fr6LDRoqDgp9nLm1WWI,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720543079,False
2024-07-09T16:38:07Z,ios,6106,LT,78.61.198.127,Ala Mode,Mindless Self Indulgence,How I Learned to Stop Giving a Shit and Love Mindless Self Indulgence,spotify:track:0V5Fr6LDRoqDgp9nLm1WWI,,,,,,,,backbtn,fwdbtn,True,True,False,1720543080,False
2024-07-09T16:48:04Z,ios,62995,LT,78.61.198.127,Savages,That Handsome Devil,History Is a Suicide Note,spotify:track:4QOXg01nSpCVzFUGXBZ4vy,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720543087,False
2024-07-09T16:48:18Z,ios,14140,LT,78.61.198.127,Souk Eye,Gorillaz,The Now Now,spotify:track:4fjzDf54eBNOlW45mNe14U,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720543684,False
2024-07-09T16:48:20Z,ios,1369,LT,78.61.198.127,Americano,Lady Gaga,Born This Way,spotify:track:1sRByD63uI8ZJAOSPDczXF,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720543698,False
2024-07-09T16:48:21Z,ios,975,LT,78.61.198.127,I Bet on Losing Dogs,Mitski,Puberty 2,spotify:track:2Co0IjcLTSHMtodwD4gzfg,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720543700,False
2024-07-09T16:48:22Z,ios,1346,LT,78.61.198.127,二十歳の恋,Lamp,ランプ幻想,spotify:track:1EA40FX9aBaKIXwIp83WzL,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720543701,False
2024-07-09T16:48:23Z,ios,1346,LT,78.61.198.127,Inside Out,Duster,Stratosphere,spotify:track:6WlmEymaXKMRs3D2c4j6os,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720543702,False
2024-07-09T17:56:10Z,ios,16161,LT,78.61.198.127,Rock Lobster,The B-52's,Island Records Post Punk Box Set - Out Come The Freaks,spotify:track:4GxjWc51eJZjKUTCClw3c1,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720543703,False
